title,year,venue,type,co_authors
A Library of Phosphoproteomic and Chromatin Signatures for Characterizing Cellular Responses to Drug Perturbations,2017,bioRxiv (Cold Spring Harbor Laboratory),preprint,Lev Litichevskiy; Ryan Peckner; Jennifer G. Abelin; Jacob K. Asiedu; Amanda L. Creech; John F. Davis; Desiree Davison; Caitlin M. Dunning; Jarrett D. Egertson; Shawn B. Egri; Joshua Gould; Tak Ko; Sarah Johnson; David L. Lahr; Daniel D. Lam; Zihan Liu; Nicholas Lyons; Xiaodong Lü; Brendan MacLean; Alison E. Mungenast; Adam Officer; Ted Natoli; Malvina Papanastasiou; Jinal Patel; Vagisha Sharma; Courtney Toder; Andrew A. Tubelli; Jennie Z. Young; Steven A. Carr; Todd R. Golub; Aravind Subramanian; Michael J. MacCoss; Li‐Huei Tsai; Jacob D. Jaffe
The Skyline ecosystem: Informatics for quantitative mass spectrometry proteomics,2017,Mass Spectrometry Reviews,article,Lindsay K. Pino; Brian C. Searle; James G. Bollinger; Brook L. Nunn; Brendan MacLean; Michael J. MacCoss
Statistical control of peptide and protein error rates in large-scale targeted data-independent acquisition analyses,2017,Nature Methods,article,George Rosenberger; Isabell Bludau; Uwe Schmitt; Moritz Heusel; Christie L. Hunter; Yansheng Liu; Michael J. MacCoss; Brendan MacLean; Alexey I. Nesvizhskii; Patrick G. A. Pedrioli; Lukas Reiter; Hannes Röst; Stephen Tate; Ying S. Ting; Ben C. Collins; Ruedi Aebersold
Skyline Performs as Well as Vendor Software in the Quantitative Analysis of Serum 25-Hydroxy Vitamin D and Vitamin D Binding Globulin,2017,Clinical Chemistry,article,Clark M. Henderson; Nicholas Shulman; Brendan MacLean; Michael J. MacCoss; Andrew N. Hoofnagle
New Guidelines for Publication of Manuscripts Describing Development and Application of Targeted Mass Spectrometry Measurements of Peptides and Proteins,2017,Molecular & Cellular Proteomics,article,Susan E. Abbatiello; Bradley L. Ackermann; Christoph H. Borchers; Ralph Bradshaw; Steven A. Carr; Robert J. Chalkley; Meena Choi; Eric W. Deutsch; Bruno Domon; Andrew N. Hoofnagle; Hasmik Keshishian; Eric Kuhn; D.C. Liebler; Michael J. MacCoss; Brendan MacLean; D.R. Mani; Hendrik Neubert; Derek Smith; Olga Vitek; Lisa J. Zimmerman
MSstatsQC: Longitudinal System Suitability Monitoring and Quality Control for Targeted Proteomic Experiments,2017,Molecular & Cellular Proteomics,article,Eralp Doğu; Sara Mohammad-Taheri; Susan E. Abbatiello; Michael S. Bereman; Brendan MacLean; Birgit Schilling; Olga Vitek
A multicenter study benchmarks software tools for label-free proteome quantification,2016,Nature Biotechnology,article,Pedro Navarro; Jörg Kuharev; Ludovic Gillet; Oliver M. Bernhardt; Brendan MacLean; Hannes Röst; Stephen Tate; Chih‐Chiang Tsou; Lukas Reiter; Ute Distler; George Rosenberger; Yasset Pérez‐Riverol; Alexey I. Nesvizhskii; Ruedi Aebersold; Stefan Tenzer
An Automated Pipeline to Monitor System Performance in Liquid Chromatography–Tandem Mass Spectrometry Proteomic Experiments,2016,Journal of Proteome Research,article,Michael S. Bereman; Joshua Beri; Vagisha Sharma; Cory Nathe; Josh Eckels; Brendan MacLean; Michael J. MacCoss
ABRF Proteome Informatics Research Group (iPRG) 2015 Study: Detection of Differentially Abundant Proteins in Label-Free Quantitative LC–MS/MS Experiments,2016,Journal of Proteome Research,article,Meena Choi; Zeynep F. Eren-Dogu; Christopher M. Colangelo; John S. Cottrell; Michael R. Hoopmann; Eugene A. Kapp; Sangtae Kim; Henry Lam; Thomas A. Neubert; Magnus Palmblad; Brett S. Phinney; Susan T. Weintraub; Brendan MacLean; Olga Vitek
Building high-quality assay libraries for targeted analysis of SWATH MS data,2015,Nature Protocols,article,Olga T. Schubert; Ludovic Gillet; Ben C. Collins; Pedro Navarro; George Rosenberger; Witold Wolski; Henry Lam; Dario Amodei; Parag Mallick; Brendan MacLean; Ruedi Aebersold
Multiplexed peptide analysis using data-independent acquisition and Skyline,2015,Nature Protocols,article,Jarrett D. Egertson; Brendan MacLean; Richard S. Johnson; Yue Xuan; Michael J. MacCoss
Peptide-Centric Proteome Analysis: An Alternative Strategy for the Analysis of Tandem Mass Spectrometry Data,2015,Molecular & Cellular Proteomics,article,Ying S. Ting; Jarrett D. Egertson; Samuel Payne; Sangtae Kim; Brendan MacLean; Lukas Käll; Ruedi Aebersold; Richard Smith; William Stafford Noble; Michael J. MacCoss
"Multiplexed, Scheduled, High-Resolution Parallel Reaction Monitoring on a Full Scan QqTOF Instrument with Integrated Data-Dependent and Targeted Mass Spectrometric Workflows",2015,Analytical Chemistry,article,Birgit Schilling; Brendan MacLean; Jason M. Held; Alexandria K. Sahu; Matthew J. Rardin; Dylan J. Sorensen; Theodore W. Peters; Alan J. Wolfe; Christie L. Hunter; Michael J. MacCoss; Bradford W. Gibson
MS1 Peptide Ion Intensity Chromatograms in MS2 (SWATH) Data Independent Acquisitions. Improving Post Acquisition Analysis of Proteomic Experiments,2015,Molecular & Cellular Proteomics,article,Matthew J. Rardin; Birgit Schilling; Lin-Yang Cheng; Brendan MacLean; Dylan J. Sorensen; Alexandria K. Sahu; Michael J. MacCoss; Olga Vitek; Bradford W. Gibson
